Borderlands',TAKE-TWO INTERACTIVE SOFTWARE,2009,10.55,9.01,426,1017,29.52
CallOfDutyBlackopsColdWar',Activision Blizzard,2020,61,89.48,566,856,39.8
'Amazon',Amazon,2016,32.81,38.17,575,308,65.12
Overwatch',Activision Blizzard,2016,38.06,36.77,627,726,46.34
'Xbox(Xseries)',Xbox Game Studios,2015,47,55.35,373,785,32.21
NBA2K',Take-Two Interactive,2014,19.49,28.89,1469,424,77.6
'Dota2',Activision Blizzard,2013,13.21,18.38,767,579,56.98
'PlayStation5(PS5)',Sony Group Corp,2020,68.25,94.5,453,936,32.61
'WorldOfCraft',Activision Blizzard,2009,10.98,9.25,340,737,31.57
'CS-GO',Valve Hidden Path Entertainment,2012,10.18,8.98,344,760,31.16
'Google',Google,2015,24.679,38.389,591,360,62.15
'AssassinsCreed',Ubisoft,2009,11.19,9.835,375,1439,20.67
'ApexLegends',Electronic Arts,2019,89.45,108.11,691,604,53.36
LeagueOfLegends',Riot Games,2017,4.186,16.5,632,615,50.68
Fortnite',Warner Bros. Interactive Entertainment,2017,46.84,101.46,697,553,55.76
'Microsoft',Microsoft,2016,51.489,61.82,764,602,55.93
'Hearthstone',Activision Blizzard,2014,16.7,20.36,527,833,38.75
'Battlefield',Electronic Arts,2008,47.01,17.55,464,586,44.19
'PlayerUnknownsBattlegrounds(PUBG)',PUBG Corporation,2017,23.01,52.4,678,398,63.01
'Verizon',Verizon,2016,45.67,52.48,1092,528,67.41
'HomeDepot',Hope Depot Inc,2016,130.21,135.35,892,772,53.61
'FIFA',Electronic Arts,2013,14.46,22.02,1169,495,70.25
'RedDeadRedemption(RDR)',TAKE-TWO INTERACTIVE SOFTWARE,2010,12.18,11.39,305,927,24.76
'CallOfDuty',Activision Blizzard,2014,16.7,20.38,883,446,66.44
TomClancysRainbowSix',Penguin International Limited,2015,0.354,0.45,1115,513,68.49
'Facebook',Facebook,2015,77.98,106.48,716,174,80.45
'GrandTheftAuto(GTA)',TAKE-TWO INTERACTIVE SOFTWARE,2014,17.61,23.39,593,621,48.85
'MaddenNFL',Electronic Arts,2014,23.98,46.44,1694,396,81.05
'johnson&johnson',johnson&johnson,2015,101.55,103.18,845,269,75.85
'Cyberpunk2077',Warner Bros. Interactive Entertainment,2020,47.8,43.65,385,950,28.84
'TomClancysGhostRecon',Ubisoft,2014,10.52,14.28,894,614,59.28
'Nvidia',NVIDIA Corporation,2015,5.025,8.205,516,802,39.15
